Label,Hemisphere,Lobe,Name_FS,Name,Full name,BA,Color
1,L,Occipital,Medial Occipital,VCcm,Caudal Medial Visual Cortex,17/18,255 0 0
2,L,Occipital,Lateral Occipital,VCl,Lateral Visual Cortex,37/19/18,0 255 0
3,L,Occipital,Superior Occipital,VCs,Superior Visual Cortex,19/39,239 119 41
4,L,Occipital,Cuneus,Cu,Cuneus,18/19,210 25 245
5,L,Occipital,Lingual,VCrm,Rostral Medial Visual Cortex,18/19,167 117 74
6,L,Temporal,Fusiform,ITCm,Medial Inferior Temporal Cortex,36/37/20,255 218 47
7,L,Temporal,Inferior Temporal,ITCr,Rostral Inferior Temporal Cortex,20,0 30 200
8,L,Temporal,Middle Temporal,MTCc,Caudal Middle Temporal Cortex,21/22/39,145 250 250
9,L,Temporal,Superior Temporal,STCc,Caudal Superior Temporal Cortex ,22/41/42,255 144 195
10,L,Temporal,Superior Temporal,STCr,Rostral Superior Temporal Cortex ,21/22/38,250 250 145
11,L,Temporal,Middle Temporal,MTCr,Rostral Middle Temporal Cortex,20/21/38,147 147 179
12,L,Parietal,Isthmus/Parahippocampal,ICC,Isthmus Cingulate Cortex,30,23 250 23
13,L,Parietal,Supramarginal,IPCv,Ventral Inferior Parietal Cortex ,40,253 238 5
14,L,Parietal,Inferior Parietal,IPCd,Dorsal Inferior Parietal Cortex,39/40/7,229 24 254
15,L,Parietal,Superior Parietal,SPC,Superior Parietal Cortex,7,0 250 0
16,L,Parietal,Precuneus,SPCm,Medial Superior Parietal Cortex,7,125 100 50
17,L,Parietal,Precuneus,PCm,Medial Parietal Cortex,31,66 15 175
18,L,Parietal,Isthmus Cingulate,PCC,Posterior Cingulate Cortex,2,255 212 79
19,L,Parietal,Postcentral,Sv,Ventral Somatosensory Cortex,1/2/3,5 218 41
20,L,Parietal,Postcentral,Sdl,Dorsolateral Somatosensory Cortex,1/2/3,19 219 243
21,L,Parietal,Postcentral,Sdm,Dorsomedial Somatosensory Cortex,1/2/3/5/31,250 0 0
22,L,Frontal,Precentral,Mv,Ventral Motor Cortex,4/6,48 36 96
